isd_station,ghcnh_station,station_name,state,lat,lon
72530094846,USW00094846,CHICAGO O'HARE INTERNATIONAL AIRPORT,IL,41.96,-87.932
72533014827,USW00014827,FORT WAYNE INTERNATIONAL AIRPORT,IN,40.972,-85.206
72534014819,USW00014819,CHICAGO MIDWAY INTL ARPT,IL,41.784,-87.755
72537094847,USW00094847,DETROIT METRO WAYNE COUNTY AIRPORT,MI,42.231,-83.331
72545014990,USW00014990,EASTERN IOWA REGIONAL AIRPORT,IA,41.883,-91.725
72546014933,USW00014933,DES MOINES INTERNATIONAL AIRPORT,IA,41.534,-93.653
72550014942,USW00014942,EPPLEY AIRFIELD AIRPORT,NE,41.312,-95.902
72551014939,USW00014939,LINCOLN MUNICIPAL AIRPORT,NE,40.848,-96.765
72565003017,USW00003017,DENVER INTERNATIONAL AIRPORT,CO,39.847,-104.656
72569024089,USW00024089,NATRONA COUNTY INTERNATIONAL AP,WY,42.898,-106.474
72572024127,USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT,UT,40.771,-111.965
72606014764,USW00014764,PORTLAND INTERNATIONAL JETPORT AP,ME,43.642,-70.304
72617014742,USW00014742,BURLINGTON INTERNATIONAL AIRPORT,VT,44.468,-73.15
72635094860,USW00094860,GERALD R FORD INTERNATIONAL AIRPORT,MI,42.882,-85.523
72640014839,USW00014839,GENERAL MITCHELL INTERNATIONAL AP,WI,42.955,-87.905
72645014898,USW00014898,AUSTIN STRAUBEL INTERNATIONAL AP,WI,44.48,-88.137
72651014944,USW00014944,JOE FOSS FIELD AIRPORT,SD,43.578,-96.754
72658014922,USW00014922,MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MN,44.885,-93.231
72677024033,USW00024033,BILLINGS LOGAN INTERNATIONAL AIRPORT,MT,45.807,-108.546
72679724132,USW00024132,GALLATIN FIELD AIRPORT,MT,45.788,-111.162
72681024131,USW00024131,BOISE AIR TERMINAL/GOWEN FD AIRPORT,ID,43.567,-116.241
72693024221,USW00024221,MAHLON SWEET FIELD AIRPORT,OR,44.133,-123.216
72698024229,USW00024229,PORTLAND INTERNATIONAL AIRPORT,OR,45.596,-122.609
72745014913,USW00014913,DULUTH INTERNATIONAL AIRPORT,MN,46.844,-92.187
72753014914,USW00014914,HECTOR INTERNATIONAL AIRPORT,ND,46.924,-96.812
72785024157,USW00024157,SPOKANE INTERNATIONAL AIRPORT,WA,47.622,-117.528
72793024233,USW00024233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,47.445,-122.314
74394514710,USW00014710,MANCHESTER AIRPORT,NH,42.93,-71.436
74486094789,USW00094789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.764
74594013705,USW00013705,ANDREWS AIR FORCE BASE AIRPORT,MD,38.817,-76.867
74704003102,USW00003102,ONTARIO INTERNATIONAL ARPT,CA,34.053,-117.577
74757093874,USW00093874,GULFPORT-BILOXI INTL ARPT,MS,30.412,-89.081
74783012849,USW00012849,FT LAUD/HOLLYWOOD INTL APT,FL,26.079,-80.162
91165022536,USW00022536,LIHUE AIRPORT,HI,21.98,-159.339
91182022521,USW00022521,HONOLULU INTERNATIONAL AIRPORT,HI,21.324,-157.939
91190022516,USW00022516,KAHULUI AIRPORT,HI,20.889,-156.435
